Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2022,WA,3,319759,160314,157685
2022,WA,4,226647,70710,150619
2022,WA,5,317006,127585,188648
2022,WA,6,347873,208710,138754
2022,WA,7,346647,295998,49207
2022,WA,8,336038,179003,155976
2022,WA,9,239848,171746,67631
2022,WI,1,300867,135825,162610
2022,WI,2,378537,268740,101890
2022,WI,3,317922,152977,164743
2022,WI,4,255012,191955,57660
2022,WI,5,378523,134581,243741
2022,WI,6,251999,0,239231
2022,WI,7,338268,128877,209224
2022,WI,8,310196,0,223981
2022,WV,1,227196,65428,151511
2022,WV,2,244886,84278,160493
2022,WY,AL,198198,47250,132206
2024,AK,AL,329555,156245,159550
2024,AL,1,329854,70929,258619
2024,AL,2,289674,158041,131414
2024,AL,3,249008,0,243848
2024,AL,4,277872,0,274498
2024,AL,5,262410,0,250322
2024,AL,6,346625,102504,243741
2024,AL,7,293220,186723,106312
2024,AR,1,267177,64113,194711
2024,AR,2,306286,125777,180509
2024,AR,3,301084,95652,192101
2024,AR,4,270253,73207,197046
2024,AZ,1,434504,208966,225538
2024,AZ,2,406431,184985,221413
2024,AZ,3,202065,143336,53705
2024,AZ,4,334545,176428,152052
2024,AZ,5,423308,167680,255628
2024,AZ,6,431220,204774,215596
2024,AZ,7,271011,171954,99057
2024,AZ,8,368613,160344,208269
2024,AZ,9,382223,132640,249583
2024,CA,1,319228,110636,208592
2024,CA,10,364544,242325,122219
2024,CA,11,339111,274796,64315
2024,CA,12,283025,283025,0
2024,CA,13,210921,105554,105367
2024,CA,14,276388,187263,89125
2024,CA,15,289544,211648,77896
2024,CA,16,308476,308476,0
2024,CA,17,254877,172462,82415
2024,CA,18,228506,147674,80832
2024,CA,19,364320,252458,111862
2024,CA,2,379617,272883,106734
2024,CA,20,288788,0,288788
2024,CA,21,195531,102798,92733
2024,CA,22,167507,78023,89484
2024,CA,23,264849,105563,159286
2024,CA,24,342479,214724,127755
2024,CA,25,245031,137837,107194
2024,CA,26,334306,187393,146913
2024,CA,27,300090,154040,146050
2024,CA,28,314944,204489,110455
2024,CA,29,209686,146312,63374
2024,CA,3,422313,188067,234246
2024,CA,30,311659,213100,98559
2024,CA,31,247951,148095,99856
2024,CA,32,321645,212934,108711
2024,CA,33,233275,137197,96078
2024,CA,34,189414,189414,0
2024,CA,35,233555,136413,97142
2024,CA,36,357987,246002,111985
2024,CA,37,204814,160364,0
2024,CA,38,275928,165110,110818
2024,CA,39,229660,130191,99469
2024,CA,4,342680,227730,114950
2024,CA,40,383635,171637,211998
2024,CA,41,354445,171229,183216
2024,CA,42,233563,159153,74410
2024,CA,43,213232,160080,53152
2024,CA,44,230852,164765,66087
2024,CA,45,315875,158264,157611
2024,CA,46,211292,134013,77279
2024,CA,47,353275,181721,171554
2024,CA,48,360290,146665,213625
2024,CA,49,378347,197397,180950
2024,CA,5,368562,140919,227643
2024,CA,50,360695,231836,128859
2024,CA,51,327584,198835,128749
2024,CA,52,259718,172217,87501
2024,CA,6,287072,165408,121664
2024,CA,7,295770,197429,98341
2024,CA,8,273030,201962,71068
2024,CA,9,251357,130183,121174
2024,CO,1,345735,264694,74598
2024,CO,2,416908,284994,120633
2024,CO,3,397553,182147,201951
2024,CO,4,447807,188249,240213
2024,CO,5,362085,147972,197924
2024,CO,6,343721,202686,132174
2024,CO,7,425966,235688,175273
2024,CO,8,333616,160871,163320
2024,CT,1,330482,197788,115065
2024,CT,2,376047,218162,157878
2024,CT,3,328923,193684,130095
2024,CT,4,328857,200791,122793
2024,CT,5,337605,171337,157258
2024,DC,0,328404,251540,19765
2024,DE,AL,497436,287830,209606
2024,FL,1,415088,140980,274108
2024,FL,10,290915,181455,109460
2024,FL,11,446003,176726,269277
2024,FL,12,431436,124949,306487
2024,FL,13,411593,185930,225636
2024,FL,14,350185,199423,145643
2024,FL,15,347695,152361,195334
2024,FL,16,416141,168625,247516
2024,FL,17,455921,164566,291347
2024,FL,18,344807,119637,225170
2024,FL,19,415746,140038,275708
2024,FL,2,402280,154323,247957
2024,FL,20,1,1,0
2024,FL,21,448766,171312,277435
2024,FL,22,366856,201608,165248
2024,FL,23,374317,196311,178006
2024,FL,24,285588,194874,90692
2024,FL,25,343191,186942,156208
2024,FL,26,306271,89072,217199
2024,FL,27,329867,130708,199159
2024,FL,28,325337,115280,210057
2024,FL,3,391457,150283,241174
2024,FL,4,388349,165912,222364
2024,FL,5,424064,156570,267471
2024,FL,6,427474,143050,284414
2024,FL,7,413854,179917,233937
2024,FL,8,450448,170096,280352
2024,FL,9,324273,178785,138076
2024,GA,1,355857,135281,220576
2024,GA,10,406716,150274,256442
2024,GA,11,400913,131064,269849
2024,GA,12,341266,135417,205849
2024,GA,13,357632,256902,100730
2024,GA,14,378205,134759,243446
2024,GA,2,312501,176028,136473
2024,GA,3,411785,138749,273036
2024,GA,4,303361,229290,74071
2024,GA,5,343691,294470,49221
2024,GA,6,370936,277027,93909
2024,GA,7,425442,149535,275907
2024,GA,8,335981,104434,231547
2024,GA,9,392816,121754,271062
2024,HI,1,251432,164237,64373
2024,HI,2,270804,166251,75471
2024,IA,1,414078,206156,206955
2024,IA,2,408802,169740,233340
2024,IA,3,412905,197962,213746
2024,IA,4,373824,122175,250522
2024,ID,1,489086,118656,331049
2024,ID,2,428514,126229,250119
2024,IL,1,316507,208398,108064
2024,IL,10,327621,196358,131025
2024,IL,11,359684,199825,159630
2024,IL,12,367629,94875,272754
