State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
CA,34,2022,0.37,48.0,0.21,26.0,35.0,121467.0,121467.0,0.0,189414.0,189414.0,0.0,610534,75535,376198,34589,124324,26973,1978,,,,,,,,253311,205047,42312,214522.0,156727.0,48089.0
CA,35,2022,0.3,20.0,0.24,36.0,39.0,130953.0,75121.0,55832.0,233555.0,136413.0,97142.0,575415,97719,352257,44010,79996,22247,3041,,,,,,,,273717,172149,95610,243927.0,130916.0,105838.0
CA,36,2022,0.31,25.0,0.2,26.0,33.0,278563.0,194299.0,84264.0,357987.0,246002.0,111985.0,634602,365202,98080,30729,130379,11578,3485,,,,,,,,421859,299632,113497,385607.0,261900.0,111111.0
CA,37,2022,0.44,75.0,0.3,49.0,55.0,131880.0,131880.0,0.0,204814.0,160364.0,0.0,592275,86465,298131,156977,50445,22198,1895,,,,,,,,279706,239694,34727,235123.0,184949.0,42949.0
CA,38,2022,0.34,34.0,0.14,9.0,29.0,174311.0,101260.0,73051.0,275928.0,165110.0,110818.0,600686,90633,350026,16159,142759,21441,2818,,,,,,,,339024,217235,114868,294851.0,166547.0,119129.0
CA,39,2022,0.39,55.0,0.2,24.0,34.0,131597.0,75896.0,55701.0,229660.0,130191.0,99469.0,560688,125403,328249,58471,44296,21705,3777,,,,,,,,266773,165325,95617,236170.0,125904.0,103010.0
CA,40,2022,0.42,70.0,0.15,12.0,33.0,284311.0,122722.0,161589.0,383635.0,171637.0,211998.0,602203,310748,137083,15176,130743,13100,3327,,,,,,,,424644,211994,204055,391294.0,184629.0,193658.0
CA,41,2022,0.2,0.0,0.06,0.0,14.0,236638.0,112769.0,123869.0,354445.0,171229.0,183216.0,593176,286078,203050,36609,57672,19066,4189,,,,,,,,368386,178930,182957,362476.0,165816.0,187206.0
CA,42,2022,0.13,0.0,0.14,10.0,1.0,145120.0,99217.0,45903.0,233563.0,159153.0,74410.0,586430,121254,358174,46534,57515,23249,3908,,,,,,,,289450,207588,74946,248048.0,159936.0,79485.0
CA,43,2022,0.31,25.0,0.2,24.0,31.0,123447.0,95462.0,27985.0,213232.0,160080.0,53152.0,569643,45349,307997,155908,60171,19946,4233,,,,,,,,270712,218705,46038,223391.0,162810.0,53414.0
CA,44,2022,0.31,26.0,0.16,16.0,24.0,138714.0,100160.0,38554.0,230852.0,164765.0,66087.0,585395,84314,339063,74822,83345,22821,7977,,,,,,,,292874,213589,72405,251040.0,164011.0,79110.0
CA,45,2022,0.36,44.0,0.08,0.0,8.0,217426.0,103466.0,113960.0,315875.0,158264.0,157611.0,603905,166075,164636,17509,250168,13419,4801,,,,,,,,357128,186195,164110,324170.0,159788.0,154805.0
CA,46,2022,0.49,95.0,0.16,16.0,35.0,126298.0,78041.0,48257.0,211292.0,134013.0,77279.0,579793,99973,354631,15572,105968,25618,3821,,,,,,,,253548,162577,85482,218247.0,125117.0,86405.0
CA,47,2022,0.36,44.0,0.22,31.0,37.0,265635.0,137374.0,128261.0,353275.0,181721.0,171554.0,616104,326774,98544,14966,165793,11073,3682,,,,,,,,390913,212946,169637,362527.0,182471.0,167342.0
CA,48,2022,0.41,65.0,0.2,26.0,46.0,257071.0,101900.0,155171.0,360290.0,146665.0,213625.0,582232,332290,152630,25522,55840,22619,5187,,,,,,,,391073,167038,215258,371472.0,152739.0,209567.0
CA,49,2022,0.35,41.0,0.27,44.0,46.0,291735.0,153541.0,138194.0,378347.0,197397.0,180950.0,599978,365829,146920,19910,54409,16794,5662,,,,,,,,405333,221243,174997,385279.0,202121.0,172262.0
CA,50,2022,0.25,0.0,0.12,5.0,9.0,268635.0,168816.0,99819.0,360695.0,231836.0,128859.0,619990,358758,121370,24736,104040,12961,4074,,,,,,,,402764,263261,129951,372323.0,234982.0,124903.0
CA,51,2022,0.51,100.0,0.12,5.0,27.0,233072.0,144186.0,88886.0,327584.0,198835.0,128749.0,606885,294681,137187,45225,120846,15340,6648,,,,,,,,369575,230850,129986,338799.0,204027.0,124411.0
CA,52,2022,0.37,47.0,0.25,38.0,45.0,151016.0,100686.0,50330.0,259718.0,172217.0,87501.0,579759,88568,331832,54670,106337,18913,6183,,,,,,,,304940,205520,93112,269031.0,159462.0,102468.0
CA,1,2026,0.37,49.0,0.19,23.0,34.0,,,,,,,605483,390785,138760,15539,29667,33831,4253,,,,,,,,369547,212964,147017,341644.0,186164.0,144424.0
CA,2,2026,0.32,30.0,0.2,25.0,21.0,,,,,,,613701,447722,80105,15177,34026,35923,3432,,,,,,,,417404,263170,144491,389315.0,236524.0,140558.0
CA,3,2026,0.4,61.0,0.24,34.0,44.0,,,,,,,600433,366223,98814,40084,75189,20435,6573,,,,,,,,390775,217623,163088,366634.0,195637.0,158302.0
CA,4,2026,0.36,43.0,0.16,15.0,33.0,,,,,,,591002,322739,162279,18842,68630,23831,4451,,,,,,,,361299,214496,138292,343934.0,191758.0,141847.0
CA,5,2026,0.23,0.0,0.25,38.0,49.0,,,,,,,599254,356309,152803,19657,45967,28642,5216,,,,,,,,383759,159852,215543,362461.0,139201.0,214114.0
CA,6,2026,0.28,12.0,0.12,4.0,12.0,,,,,,,576315,314273,114231,48424,82961,21275,8149,,,,,,,,357325,196529,151560,336344.0,176808.0,148595.0
CA,7,2026,0.39,58.0,0.16,15.0,21.0,,,,,,,586863,257777,121573,59436,131923,19874,11377,,,,,,,,375056,220144,146476,346907.0,190078.0,145585.0
CA,8,2026,0.34,38.0,0.22,30.0,38.0,,,,,,,600387,201307,168167,93803,127210,21203,8712,,,,,,,,343801,241492,94851,312348.0,204494.0,98040.0
CA,9,2026,0.24,0.0,0.09,0.0,11.0,,,,,,,567270,164929,195496,74526,125001,21038,9017,,,,,,,,295299,183175,105771,268485.0,145369.0,114692.0
CA,10,2026,0.4,58.0,0.24,36.0,55.0,,,,,,,588180,310852,105421,29579,132198,14010,5218,,,,,,,,413477,282092,122486,377829.0,246078.0,119171.0
CA,11,2026,0.1,0.0,0.26,41.0,7.0,,,,,,,664995,296850,87723,43691,227568,12865,4609,,,,,,,,393710,339716,46188,361181.0,295462.0,50870.0
CA,12,2026,0.49,95.0,0.49,97.0,89.0,,,,,,,621080,218543,131521,111824,152734,19039,5745,,,,,,,,367980,328667,31678,318372.0,269134.0,33869.0
CA,13,2026,0.42,67.0,0.21,26.0,41.0,,,,,,,535741,130366,323990,25596,47664,27213,4402,,,,,,,,223212,128684,89225,207956.0,101626.0,100599.0
