State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,48,2022,0.41,65,0.2,26,46,257071,101900,155171,360290,146665,213625,582232,332290,152630,25522,55840,22619,5187,760065,404879,223522,37311,76567,31751,7544,391073,167038,215258,371472,152739,209567
CA,49,2022,0.35,41,0.27,44,46,291735,153541,138194,378347,197397,180950,599978,365829,146920,19910,54409,16794,5662,760066,439259,206882,27749,72822,21930,7980,405333,221243,174997,385279,202121,172262
CA,50,2022,0.25,0,0.12,5,9,268635,168816,99819,360695,231836,128859,619990,358758,121370,24736,104040,12961,4074,760067,415912,164328,31810,135852,17537,5535,402764,263261,129951,372323,234982,124903
CA,51,2022,0.51,100,0.12,5,27,233072,144186,88886,327584,198835,128749,606885,294681,137187,45225,120846,15340,6648,760065,346781,190017,61910,153099,20775,8931,369575,230850,129986,338799,204027,124411
CA,52,2022,0.37,47,0.25,38,45,151016,100686,50330,259718,172217,87501,579759,88568,331832,54670,106337,18913,6183,760066,101294,457390,74147,135487,28117,8609,304940,205520,93112,269031,159462,102468
CA,1,2026,0.37,49,0.19,23,34,,,,,,,605483,390785,138760,15539,29667,33831,4253,760065,462197,198815,20639,40391,46137,5841,369547,212964,147017,341644,186164,144424
CA,2,2026,0.32,30,0.2,25,21,,,,,,,613701,447722,80105,15177,34026,35923,3432,760065,533599,112645,18778,46719,48674,4678,417404,263170,144491,389315,236524,140558
CA,3,2026,0.4,61,0.24,34,44,,,,,,,600433,366223,98814,40084,75189,20435,6573,760067,435208,141407,54225,105091,27167,9177,390775,217623,163088,366634,195637,158302
CA,4,2026,0.36,43,0.16,15,33,,,,,,,591002,322739,162279,18842,68630,23831,4451,760065,384742,236841,28171,89643,32572,6332,361299,214496,138292,343934,191758,141847
CA,5,2026,0.23,0,0.25,38,49,,,,,,,599254,356309,152803,19657,45967,28642,5216,760066,424499,219949,24651,62902,38702,6805,383759,159852,215543,362461,139201,214114
CA,6,2026,0.28,12,0.12,4,12,,,,,,,576315,314273,114231,48424,82961,21275,8149,760067,386058,169635,70555,115196,28618,11389,357325,196529,151560,336344,176808,148595
CA,7,2026,0.39,58,0.16,15,21,,,,,,,586863,257777,121573,59436,131923,19874,11377,760065,305712,176798,82234,177508,26591,15425,375056,220144,146476,346907,190078,145585
CA,8,2026,0.34,38,0.22,30,38,,,,,,,600387,201307,168167,93803,127210,21203,8712,760066,233055,238586,120878,160486,27671,12190,343801,241492,94851,312348,204494,98040
